"marcel"	[["carol", 2], ["fabio", 1], ["fabiola", 1], ["patricia", 1], ["paula", 1]]
"maria"	[["jose", 2], ["patricia", 2], ["jonas", 1], ["paula", 1]]
"patricia"	[["maria", 2], ["jose", 1], ["marcel", 1], ["paula", 1]]
"paula"	[["jonas", 1], ["marcel", 1], ["maria", 1], ["patricia", 1]]
"amanda"	[["carol", 2], ["fabio", 1], ["fabiola", 1], ["jonas", 1], ["jose", 1]]
"carol"	[["amanda", 2], ["marcel", 2], ["fabiola", 1]]
"fabio"	[["amanda", 1], ["marcel", 1]]
"fabiola"	[["amanda", 1], ["carol", 1], ["marcel", 1]]
"jonas"	[["amanda", 1], ["jose", 1], ["maria", 1], ["paula", 1]]
"jose"	[["maria", 2], ["amanda", 1], ["jonas", 1], ["patricia", 1]]
